sample_season,lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
Summer,33,31,31,0.9087096774193582,-0.33967741935480206,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
Summer,25,31,31,0.9377419354838767,-0.1829032258064159,77.41935483870968,87.09677419354838,93.54838709677419,35.483870967741936
Summer,24,31,31,0.9958064516129057,-0.11322580645157823,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Summer,23,31,31,0.9958064516129057,-0.11322580645157823,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Summer,22,31,31,0.9667741935483898,-0.14225806451609407,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Winter,12,31,31,1.0190322580645088,-0.6067741935483606,77.41935483870968,87.09677419354838,100.0,16.129032258064516
Winter,2,31,31,1.0770967741935447,-0.42677419354835605,74.19354838709677,87.09677419354838,100.0,16.129032258064516
Winter,3,31,31,1.0770967741935447,-0.42677419354835605,74.19354838709677,87.09677419354838,100.0,16.129032258064516
Fall,27,31,31,0.9377419354838533,-0.36290322580640116,77.41935483870968,87.09677419354838,90.32258064516128,35.483870967741936
Winter,4,31,31,1.0770967741935447,-0.42677419354835605,74.19354838709677,87.09677419354838,100.0,16.129032258064516
Winter,26,30,30,0.9540000000000006,-0.5459999999999766,83.33333333333334,86.66666666666667,100.0,16.666666666666664
Winter,27,30,30,0.9540000000000006,-0.6059999999999761,80.0,86.66666666666667,100.0,16.666666666666664
Fall,17,31,31,1.001612903225792,-0.07838709677414059,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,12,31,31,1.117741935483856,-0.026129032258013704,77.41935483870968,83.87096774193549,93.54838709677419,35.483870967741936
Fall,13,31,31,1.088709677419341,0.00870967741941018,77.41935483870968,83.87096774193549,93.54838709677419,35.483870967741936
Fall,11,31,31,1.146774193548372,-0.05516129032252956,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,19,31,31,0.9435483870967614,-0.014516129032207272,77.41935483870968,83.87096774193549,93.54838709677419,35.483870967741936
Fall,5,31,31,1.0654838709677208,-0.14806451612897828,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,10,31,31,1.146774193548372,-0.05516129032252956,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,6,31,31,1.0654838709677208,-0.14806451612897828,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,3,31,31,1.0654838709677208,-0.14806451612897828,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,0,31,31,1.0654838709677195,-0.14806451612897506,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,1,31,31,1.094516129032239,-0.1132258064515576,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,2,31,31,1.0654838709677208,-0.14806451612897828,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,14,31,31,1.030645161290303,-0.11322580645155851,77.41935483870968,83.87096774193549,93.54838709677419,35.483870967741936
Fall,34,31,31,0.9958064516128878,-0.3570967741935005,77.41935483870968,83.87096774193549,96.7741935483871,35.483870967741936
Fall,33,31,31,0.99580645161289,-0.35129032258059567,74.19354838709677,83.87096774193549,96.7741935483871,35.483870967741936
Fall,29,31,31,0.9958064516128892,-0.35709677419350006,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
