target_date_et,best_lead_hours,forecast_temp_f,observed_max_f,abs_error_f,forecast_stability
2020-05-22,36.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2020-05-23,15.0,85.91000000000008,86.0,0.08999999999991815,MIXED
2020-05-24,0.0,81.05,78.98,2.069999999999993,UNSTABLE
2020-05-25,5.0,81.05,78.8,2.25,MIXED
2020-05-26,12.0,85.91000000000008,86.0,0.08999999999991815,MIXED
2020-05-27,36.0,88.07000000000006,86.0,2.0700000000000642,UNSTABLE
2020-05-28,36.0,86.99000000000002,86.0,0.9900000000000233,STABLE
2020-05-29,4.0,86.99000000000002,87.08000000000001,0.0899999999999892,UNSTABLE
2020-05-30,28.0,86.99000000000002,87.98,0.9899999999999807,UNSTABLE
2020-05-31,8.0,88.97000000000006,89.06,0.08999999999994657,UNSTABLE
2020-06-01,24.0,90.05,89.96000000000001,0.0899999999999892,UNSTABLE
2020-06-02,12.0,88.07000000000006,87.08000000000001,0.9900000000000517,UNSTABLE
2020-06-03,36.0,88.07000000000006,87.08000000000001,0.9900000000000517,UNSTABLE
2020-06-04,35.0,83.93000000000004,84.02,0.08999999999996078,STABLE
2020-06-05,36.0,85.91000000000008,86.0,0.08999999999991815,STABLE
2020-06-06,36.0,86.99000000000002,87.98,0.9899999999999807,STABLE
2020-06-07,17.0,89.51000000000002,89.96000000000001,0.44999999999998863,MIXED
2020-06-08,24.0,88.07000000000006,87.98,0.09000000000006025,STABLE
2020-06-09,14.0,90.05,89.96000000000001,0.0899999999999892,STABLE
2020-06-10,2.0,90.95,91.03999999999999,0.0899999999999892,MIXED
2020-06-11,8.0,88.07000000000006,87.8,0.2700000000000671,MIXED
2020-06-12,33.0,86.99000000000002,87.08000000000001,0.0899999999999892,UNSTABLE
2020-06-13,30.0,86.99000000000002,87.98,0.9899999999999807,MIXED
2020-06-14,2.0,86.99000000000002,91.03999999999999,4.049999999999969,MIXED
2020-06-15,18.0,88.07000000000006,87.98,0.09000000000006025,MIXED
2020-06-16,13.0,88.07000000000006,87.98,0.09000000000006025,STABLE
2020-06-17,26.0,85.91000000000008,84.02,1.8900000000000858,MIXED
2020-06-18,36.0,86.99000000000002,89.06,2.069999999999979,STABLE
2020-06-19,36.0,88.07000000000006,89.06,0.989999999999938,UNSTABLE
2020-06-20,36.0,90.95,91.03999999999999,0.0899999999999892,MIXED
2020-06-21,36.0,90.05,89.96000000000001,0.0899999999999892,MIXED
2020-06-22,36.0,90.05,91.94,1.8900000000000006,STABLE
2020-06-23,24.0,92.03000000000004,93.02,0.9899999999999523,MIXED
2020-06-24,3.0,94.01000000000008,93.91999999999999,0.09000000000008868,UNSTABLE
2020-06-25,15.0,92.93000000000004,93.02,0.08999999999996078,UNSTABLE
2020-06-26,3.0,92.93000000000004,93.02,0.08999999999996078,UNSTABLE
2020-06-27,27.0,92.93000000000004,93.02,0.08999999999996078,MIXED
2020-06-28,26.0,92.03000000000004,93.91999999999999,1.8899999999999437,STABLE
2020-06-29,26.0,92.93000000000004,93.91999999999999,0.9899999999999523,STABLE
2020-06-30,19.0,94.91000000000008,96.98,2.069999999999922,STABLE
2020-07-01,12.0,95.99000000000002,96.08000000000001,0.0899999999999892,UNSTABLE
2020-07-02,36.0,94.01000000000008,93.91999999999999,0.09000000000008868,STABLE
2020-07-03,36.0,94.01000000000008,93.91999999999999,0.09000000000008868,MIXED
2020-07-04,36.0,92.03000000000004,93.91999999999999,1.8899999999999437,STABLE
2020-07-05,6.0,92.93000000000004,93.02,0.08999999999996078,STABLE
2020-07-06,36.0,92.03000000000004,91.03999999999999,0.9900000000000517,STABLE
2020-07-07,36.0,92.03000000000004,91.94,0.09000000000004604,STABLE
2020-07-08,25.0,92.93000000000004,95.0,2.0699999999999648,STABLE
2020-07-09,20.0,95.99000000000002,98.06,2.069999999999979,MIXED
2020-07-10,36.0,94.91000000000008,96.08000000000001,1.1699999999999307,UNSTABLE
2020-07-11,36.0,92.03000000000004,89.96000000000001,2.070000000000036,STABLE
2020-07-12,23.0,92.03000000000004,89.96000000000001,2.070000000000036,STABLE
2020-07-13,36.0,94.01000000000008,93.91999999999999,0.09000000000008868,MIXED
2020-07-14,4.0,93.47000000000006,96.08000000000001,2.609999999999957,STABLE
2020-07-15,36.0,92.93000000000004,93.2,0.2699999999999676,STABLE
2020-07-16,36.0,90.95,93.02,2.069999999999993,STABLE
2020-07-17,36.0,90.05,91.94,1.8900000000000006,MIXED
2020-07-18,14.0,86.99000000000002,84.91999999999999,2.070000000000036,MIXED
2020-07-19,36.0,90.05,91.94,1.8900000000000006,MIXED
2020-07-20,36.0,90.05,91.94,1.8900000000000006,MIXED
2020-07-21,36.0,88.07000000000006,89.06,0.989999999999938,STABLE
2020-07-22,36.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2020-07-23,36.0,88.07000000000006,87.98,0.09000000000006025,UNSTABLE
2020-07-24,27.0,88.97000000000006,91.03999999999999,2.0699999999999363,STABLE
2020-07-25,6.0,88.97000000000006,89.96000000000001,0.9899999999999523,MIXED
2020-07-26,8.0,90.05,91.94,1.8900000000000006,MIXED
2020-07-27,32.0,90.05,91.94,1.8900000000000006,MIXED
